timestamp,easting,northing,zone_number,zone_letter
1741266339.3753743,330237.9808621757,4156637.795186175,52,S
1741266339.5003743,330237.8587537382,4156637.8753866665,52,S
1741266339.6253743,330237.76360532595,4156637.977237209,52,S
1741266339.7503743,330237.69450959156,4156638.0563539527,52,S
1741266339.8753743,330237.59958801855,4156638.169300461,52,S
1741266340.0003743,330237.50443961285,4156638.2711510076,52,S
1741266340.1253743,330237.40090943594,4156638.3953741067,52,S
1741266340.2503743,330237.2969255864,4156638.4974052827,52,S
1741266340.3753743,330237.1927149015,4156638.5883404952,52,S
1741266340.5003743,330237.0708333237,4156638.679636961,52,S
1741266340.6253743,330236.9491785824,4156638.7820293936,52,S
1741266340.7503743,330236.8540301919,4156638.8838799465,52,S
1741266340.8753743,330236.77632586187,4156638.974273289,52,S
1741266341.0003743,330236.6902397628,4156639.087039183,52,S
1741266341.1253743,330236.60369999055,4156639.177613151,52,S
1741266341.2503743,330236.4913343907,4156639.3020168887,52,S
1741266341.375374,330236.3871237248,4156639.392952113,52,S
1741266341.500374,330236.274077611,4156639.484067965,52,S
1741266341.625374,330236.1521960541,4156639.5753644453,52,S
1741266341.750374,330236.03960362694,4156639.6886722264,52,S
1741266341.875374,330235.96189931355,4156639.7790655764,52,S
1741266342.000374,330235.88464868383,4156639.8916508514,52,S
1741266342.125374,330235.7806648698,4156639.9936820483,52,S
1741266342.250374,330235.6682992958,4156640.118085797,52,S
1741266342.375374,330235.5649960105,4156640.253404886,52,S
1741266342.500374,330235.46101220726,4156640.3554360857,52,S
1741266342.625374,330235.3570284066,4156640.4574672873,52,S
1741266342.750374,330235.26210689376,4156640.5704138256,52,S
1741266342.875374,330235.20275401545,4156640.693733817,52,S
1741266343.000374,330235.1520097446,4156640.805777217,52,S
1741266343.125374,330235.10126547306,4156640.917820618,52,S
1741266343.250374,330235.0333039925,4156641.052417201,52,S
1741266343.375374,330234.9655693577,4156641.198109748,52,S
1741266343.500374,330234.8973810407,4156641.32161037,52,S
1741266343.625374,330234.8291927257,4156641.445110994,52,S
1741266343.750374,330234.77867530665,4156641.5682503586,52,S
1741266343.875374,330234.7288384115,4156641.7246776153,52,S
1741266344.000374,330234.70482733217,4156641.847275097,52,S
1741266344.125374,330234.68058941205,4156641.958776616,52,S
1741266344.250374,330234.64842341415,4156642.1148426165,52,S
1741266344.375374,330234.63370146375,4156642.2594513963,52,S
1741266344.500374,330234.60153546836,4156642.4155173963,52,S
1741266344.625374,330234.57752439356,4156642.5381148793,52,S
1741266344.750374,330234.5449047147,4156642.671988955,52,S
